차량ID,크롤일,제조사,모델,등급,연식,주행,판매가,연료,상태
41773335,2026-06-23,현대,그랜저 (GN7),2.5 가솔린 2WD,2024,14743,3400,가솔린,판매중
41822453,2026-06-23,현대,아반떼 (CN7),2.0 N,2023,15344,2590,가솔린,판매중
41516320,2026-06-23,현대,아반떼 (CN7),2.0 N,2021,63394,2150,가솔린,판매중
41543354,2026-06-23,현대,쏘나타 (DN8),1.6 터보,2021,99793,1580,가솔린,판매중
41511486,2026-06-23,현대,베라크루즈,가솔린 2WD 380VX,2012,102760,1090,가솔린,판매중
41527552,2026-06-23,현대,아반떼 (CN7),1.6,2020,19096,2000,가솔린,판매중
41014597,2026-06-23,현대,아반떼 AD,1.6 GDI 밸류 플러스,2016,92452,990,가솔린,판매중
41650107,2026-06-23,현대,싼타페 TM,디젤 2.0 2WD,2019,69780,1850,디젤,판매중
41389064,2026-06-23,현대,팰리세이드,디젤 2.2 4WD,2019,83463,2450,디젤,판매중
41623039,2026-06-23,현대,더 뉴 그랜저 IG,3.3,2020,58609,2650,가솔린,판매중
41533888,2026-06-23,현대,싼타페 더 프라임,디젤 2.0 2WD,2015,133353,960,디젤,판매중
41713658,2026-06-23,현대,YF 쏘나타,Y20 프라임,2009,55661,450,가솔린,판매중
41841235,2026-06-23,현대,그랜저 IG,3.0 LPI 택시형,2017,111576,1150,LPG(일반인 구입),판매중
41775103,2026-06-23,현대,i30 (PD),1.4 터보,2017,103269,930,가솔린,판매중
41748049,2026-06-23,현대,그랜저 HG,HG300 프리미엄,2013,191828,495,가솔린,판매중
41524574,2026-06-23,현대,싼타페 DM,디젤(e-VGT) 2.0 2WD 익스클루시브,2014,120566,1070,디젤,판매중
41476937,2026-06-23,현대,투싼 (NX4),디젤 2.0 2WD,2022,38370,2550,디젤,판매중
41375908,2026-06-23,현대,더 뉴 아이오닉5,롱레인지,2024,21771,4430,전기,판매중
40958635,2026-06-23,현대,투싼 (NX4),가솔린 1.6 터보 2WD,2023,20579,2650,가솔린,판매중
40837870,2026-06-23,현대,싼타페 DM,디젤(e-VGT) 2.2 4WD 익스클루시브,2015,101300,1249,디젤,판매중
41773417,2026-06-23,현대,그랜드 스타렉스,5인승 밴,2018,87939,1320,디젤,판매중
41755797,2026-06-23,현대,제네시스 DH,G380 프레스티지 AWD,2015,142547,1280,가솔린,판매중
41827231,2026-06-23,현대,더 뉴 그랜저 IG,2.5,2020,46284,2599,가솔린,판매중
41792233,2026-06-23,현대,싼타페 (MX5),HEV 1.6 2WD,2025,1550,2764,가솔린+전기,판매중
41826224,2026-06-23,현대,엑센트(신형),위트 1.4 VVT 모던,2015,53248,590,가솔린,판매중
41739836,2026-06-23,현대,그랜저 IG,2.4 익스클루시브,2019,28063,2230,가솔린,판매중
41310103,2026-06-23,현대,그랜저 IG,2.4 프리미엄,2019,66596,1890,가솔린,판매중
41648823,2026-06-23,현대,그랜저 HG,HG300 노블,2011,148400,485,가솔린,판매중
41587379,2026-06-23,현대,투싼 하이브리드 (NX4),프리미엄 2WD,2021,97560,2170,가솔린+전기,판매중
41763657,2026-06-23,현대,더 뉴 그랜저 IG,2.5,2022,90328,2200,가솔린,판매중
41699109,2026-06-23,현대,그랜저 (GN7),3.5 가솔린 4WD,2024,5635,4320,가솔린,판매중
41049270,2026-06-23,현대,팰리세이드,가솔린 3.8 2WD,2020,52217,2200,가솔린,판매중
41499226,2026-06-23,현대,아반떼 (CN7),2.0 N,2022,23517,2580,가솔린,판매중
39043233,2026-06-23,현대,아반떼 AD,1.6 GDI 스마트,2016,149129,729,가솔린,판매중
41293880,2026-06-23,현대,싼타페 TM,디젤 2.2 2WD,2018,81987,1660,디젤,판매중
41619666,2026-06-23,현대,아반떼 (CN7),1.6,2021,63315,1895,가솔린,판매중
41500499,2026-06-23,현대,더 뉴 그랜저 IG,3.0 LPi (렌터카용),2022,46184,1999,LPG(일반인 구입),판매중
40977088,2026-06-23,현대,팰리세이드,디젤 2.2 2WD,2021,93258,2480,디젤,판매중
40997210,2026-06-23,현대,스타리아,라운지 9인승,2021,74050,3230,디젤,판매중
40979870,2026-06-23,현대,팰리세이드,디젤 2.2 2WD,2021,93308,2450,디젤,판매중
41763389,2026-06-23,현대,더 뉴 그랜저 IG 하이브리드,익스클루시브,2022,116636,2450,가솔린+전기,판매중
41705479,2026-06-23,현대,캐스퍼,터보 인스퍼레이션,2022,69633,1579,가솔린,판매중
41690332,2026-06-23,현대,더 뉴 그랜저 IG,2.5,2022,88873,2440,가솔린,판매중
40962620,2026-06-23,현대,팰리세이드,디젤 2.2 4WD,2020,48124,3299,디젤,판매중
41664655,2026-06-23,현대,스타리아,라운지 7인승,2022,51790,3350,디젤,판매중
41381493,2026-06-23,현대,그랜저 하이브리드 (GN7),익스클루시브,2023,89332,4310,가솔린+전기,판매중
41763526,2026-06-23,현대,YF 쏘나타,CVVL 럭셔리,2012,119709,400,가솔린,판매중
41773220,2026-06-23,현대,더 뉴 그랜저 IG,2.5,2022,81472,2120,가솔린,판매중
41834480,2026-06-23,현대,스타리아,카고 5인승,2023,68928,2540,디젤,판매중
41763916,2026-06-23,현대,싼타페 TM,가솔린 2.0T 2WD,2019,34506,2580,가솔린,판매중
41812049,2026-06-23,현대,캐스퍼,터보 인스퍼레이션,2023,58717,1499,가솔린,판매중
41766543,2026-06-23,현대,그랜저 IG,3.0 익스클루시브,2019,125140,1770,가솔린,판매중
41763598,2026-06-23,현대,캐스퍼,디 에센셜,2023,49986,1280,가솔린,판매중
41801061,2026-06-23,현대,코나,1.6 터보 4WD,2017,76495,1290,가솔린,판매중
41285332,2026-06-23,현대,코나,디젤 1.6 2WD,2017,55934,1220,디젤,판매중
41650884,2026-06-23,현대,i30,1.6 VVT 럭셔리,2011,71514,400,가솔린,판매중
41810502,2026-06-23,현대,베뉴,1.6 플럭스,2019,80744,1450,가솔린,판매중
41803657,2026-06-23,현대,캐스퍼,모던,2022,141360,1049,가솔린,판매중
41541769,2026-06-23,현대,더 뉴 그랜저 IG,2.5,2020,140272,1698,가솔린,판매중
41799500,2026-06-23,현대,LF 쏘나타 하이브리드,2.0 HEV,2016,82010,1390,가솔린+전기,판매중
41512038,2026-06-23,현대,투싼 (NX4),디젤 2.0 2WD,2023,55623,1880,디젤,판매중
41596484,2026-06-23,현대,더 뉴 싼타페,가솔린 2.5T 2WD,2023,37129,2470,가솔린,판매중
41712839,2026-06-23,현대,캐스퍼,모던,2022,144252,1029,가솔린,판매중
41780944,2026-06-23,현대,캐스퍼,터보 인스퍼레이션,2023,15912,1770,가솔린,판매중
41587360,2026-06-23,현대,더 뉴 그랜저 IG 하이브리드,르블랑,2022,99974,2560,가솔린+전기,판매중
41419141,2026-06-23,현대,투싼 (NX4),가솔린 1.6 터보 2WD,2022,71471,2390,가솔린,판매중
39619737,2026-06-23,현대,더 뉴 팰리세이드,디젤 2.2 4WD,2023,49381,4485,디젤,판매중
41722509,2026-06-23,현대,쏘나타 디 엣지(DN8),1.6 터보,2025,7788,3300,가솔린,판매중
41823103,2026-06-23,현대,그랜드 스타렉스,5인승 밴,2015,59644,1150,디젤,판매중
41560949,2026-06-23,현대,더 뉴 팰리세이드,가솔린 3.8 4WD,2022,77419,2790,가솔린,판매중
39161604,2026-06-23,현대,아반떼 AD,1.6 GDI 스마트,2016,136558,729,가솔린,판매중
41773268,2026-06-23,현대,아반떼 하이브리드 (CN7),인스퍼레이션,2022,74666,1910,가솔린+전기,판매중
41541891,2026-06-23,현대,아반떼 (CN7),1.6,2020,73261,1620,가솔린,판매중
41617620,2026-06-23,현대,더 뉴 팰리세이드,디젤 2.2 2WD,2022,83594,3390,디젤,판매중
41349092,2026-06-23,현대,스타리아,4WD 투어러 9인승,2024,15869,3780,디젤,판매중
41758561,2026-06-23,현대,캐스퍼,모던,2022,141873,1049,가솔린,판매중
41727328,2026-06-23,현대,아반떼 (CN7),1.6,2020,117125,1630,가솔린,판매중
41382686,2026-06-23,현대,싼타페 TM,디젤 2.0 2WD,2019,22605,2350,디젤,판매중
41796139,2026-06-23,현대,제네시스,BH330 럭셔리,2009,132000,420,가솔린,판매중
41151411,2026-06-23,현대,팰리세이드,디젤 2.2 4WD,2021,74659,3380,디젤,판매중
41774515,2026-06-23,현대,올 뉴 투싼,디젤 1.7 2WD,2018,97564,1070,디젤,판매중
41718282,2026-06-23,현대,더 뉴 그랜저 IG 하이브리드,르블랑,2022,121305,2550,가솔린+전기,판매중
41758590,2026-06-23,현대,캐스퍼,모던,2022,142470,1029,가솔린,판매중
41575266,2026-06-23,현대,벨로스터,DCT팩,2012,72860,490,가솔린,판매중
40979978,2026-06-23,현대,싼타페 TM,가솔린 2.0T 4WD,2018,50840,2620,가솔린,판매중
41714017,2026-06-23,현대,그랜저 IG 하이브리드,익스클루시브,2019,131487,1650,가솔린+전기,판매중
41384621,2026-06-23,현대,더 뉴 그랜저 IG,2.5,2021,141641,1790,가솔린,판매중
41835940,2026-06-23,현대,쏘나타 (DN8),2.0,2021,54981,1650,가솔린,판매중
41728216,2026-06-23,현대,그랜저 (GN7),2.5 가솔린 2WD,2025,5358,3580,가솔린,판매중
41565783,2026-06-23,현대,투싼 (NX4),가솔린 1.6 터보 2WD,2022,38989,2400,가솔린,판매중
41153358,2026-06-23,현대,그랜저 IG,2.4 프리미엄,2019,96220,1320,가솔린,판매중
41358831,2026-06-23,현대,더 뉴 팰리세이드,디젤 2.2 4WD,2022,44061,3950,디젤,판매중
41739288,2026-06-23,현대,캐스퍼,모던,2022,143391,1049,가솔린,판매중
41160662,2026-06-23,현대,베라크루즈,디젤 4WD 300VX,2008,153397,510,디젤,판매중
41834096,2026-06-23,현대,더 뉴 싼타페,디젤 2.2 2WD,2022,53444,2590,디젤,판매중
41582955,2026-06-23,현대,그랜저 IG,3.0 LPi 모던 (렌터카),2017,122973,1270,LPG(일반인 구입),판매중
41665377,2026-06-23,현대,팰리세이드 (LX3),HEV 2.5T 2WD 7인승,2025,14540,4600,가솔린+전기,판매중
41799434,2026-06-23,현대,아반떼 (CN7),1.6,2023,112685,1700,가솔린,판매중
41803663,2026-06-23,현대,캐스퍼,모던,2022,140715,1049,가솔린,판매중
41779177,2026-06-23,현대,쏘나타 하이브리드 (DN8),인스퍼레이션,2021,124150,1970,가솔린+전기,판매중
41712798,2026-06-23,현대,캐스퍼,모던,2022,139736,1029,가솔린,판매중
39584743,2026-06-23,현대,싼타페 더 프라임,디젤 2.0 2WD,2016,135083,1150,디젤,판매중
41814416,2026-06-23,현대,투싼 (NX4),가솔린 1.6 터보 2WD,2022,12539,2720,가솔린,판매중
40955073,2026-06-23,현대,YF 쏘나타,Y20 프라임,2010,136187,380,가솔린,판매중
41612310,2026-06-23,현대,더 뉴 팰리세이드,디젤 2.2 2WD,2022,34825,3740,디젤,판매중
41133109,2026-06-23,현대,싼타페 TM,가솔린 2.0T 4WD,2019,126073,1799,가솔린,판매중
41445621,2026-06-23,현대,싼타페 TM,디젤 2.0 2WD,2019,59749,2200,디젤,판매중
41568519,2026-06-23,현대,코나,1.6 터보 2WD,2019,41705,1750,가솔린,판매중
41655929,2026-06-23,현대,더 뉴 그랜저 IG,3.0 LPi (렌터카용),2022,50305,2230,LPG(일반인 구입),판매중
41054452,2026-06-23,현대,그랜저 HG,HG330 셀러브리티,2012,70293,860,가솔린,판매중
41217328,2026-06-23,현대,그랜저 HG,HG240 모던,2015,92172,1050,가솔린,판매중
41605284,2026-06-23,현대,제네시스,BH330 그랜드,2011,158024,500,가솔린,판매중
39992050,2026-06-23,현대,그랜저 (GN7),2.5 가솔린 2WD,2023,52823,2190,가솔린,판매중
41750122,2026-06-23,현대,i40 살룬,2.0 GDi,2013,133803,550,가솔린,판매중
41594225,2026-06-23,현대,투싼 (NX4),가솔린 1.6 터보 2WD,2022,38136,2500,가솔린,판매중
40953739,2026-06-23,현대,싼타페 TM,가솔린 2.0T 4WD,2018,68897,2299,가솔린,판매중
41738263,2026-06-23,현대,LF 쏘나타,2.0 스마트,2014,143613,790,가솔린,판매중
41757389,2026-06-23,현대,LF 쏘나타,2.0 스마트,2014,86093,950,가솔린,판매중
41498838,2026-06-23,현대,더 뉴 싼타페,가솔린 2.5T 2WD,2021,35880,2420,가솔린,판매중
41159564,2026-06-23,현대,아반떼 (CN7),1.6,2020,57581,1670,가솔린,판매중
41721924,2026-06-23,현대,싼타페 DM,디젤(e-VGT) 2.0 2WD 프리미엄,2013,113879,990,디젤,판매중
41841926,2026-06-23,현대,더 뉴 그랜저 IG 하이브리드,르블랑,2022,68649,2900,가솔린+전기,판매중
41772785,2026-06-23,현대,더 뉴 그랜저 IG 하이브리드,프리미엄,2021,41946,2790,가솔린+전기,판매중
41510598,2026-06-23,현대,그랜저 IG,2.4 프리미엄,2018,47156,2000,가솔린,판매중
41159577,2026-06-23,현대,더 뉴 팰리세이드,디젤 2.2 2WD,2022,45983,3890,디젤,판매중
41699104,2026-06-23,현대,팰리세이드,가솔린 3.8 2WD,2022,53179,2910,가솔린,판매중
41827187,2026-06-23,현대,아반떼 (CN7),1.6,2021,52392,1690,가솔린,판매중
39818433,2026-06-23,현대,에쿠스(신형),VS500,2013,111536,930,가솔린,판매중
41286913,2026-06-23,현대,제네시스,BH330 그랜드,2009,80732,430,가솔린,판매중
41640933,2026-06-23,현대,제네시스,BH330 럭셔리,2011,93270,670,가솔린,판매중
41631245,2026-06-23,현대,싼타페 DM,디젤(e-VGT) 2.0 2WD 익스클루시브,2014,85021,1130,디젤,판매중
40369783,2026-06-23,현대,제네시스,BH380 로얄,2009,182396,380,가솔린,판매중
41819947,2026-06-23,현대,그랜저 하이브리드 (GN7),익스클루시브,2025,2661,4180,가솔린+전기,판매중
41059263,2026-06-23,현대,그랜드 스타렉스,3인승 LPi 밴,2010,264532,760,LPG(일반인 구입),판매중
41427505,2026-06-23,현대,그랜저 (GN7),2.5 가솔린 2WD,2023,43365,4500,가솔린,판매중
41508222,2026-06-23,현대,팰리세이드,디젤 2.2 2WD,2019,61106,2590,디젤,판매중
41831227,2026-06-23,현대,i40,1.7 VGT,2014,191634,700,디젤,판매중
41755950,2026-06-23,현대,더 뉴 맥스크루즈,가솔린 3.3 2WD,2017,201855,990,가솔린,판매중
39524272,2026-06-23,현대,그랜저 HG 하이브리드,프리미엄,2015,113671,1190,가솔린+전기,판매중
41427352,2026-06-23,현대,그랜저 (GN7),2.5 가솔린 2WD,2023,52682,3900,가솔린,판매중
