제조사,매물수,중앙시세,중앙잔존율,평균주행km
현대,37034,1500,54.2,101220
기아,36452,1630,56.1,94695
제네시스,9251,3480,58.6,88276
BMW,9030,3900,51.2,74881
벤츠,8927,3950,46.5,74670
KG모빌리티(쌍용),7258,1350,49.2,93093
르노코리아(삼성),5345,839,31.8,96879
아우디,2589,3190,43.5,82850
포르쉐,1734,9200,70.0,63063
미니,1503,2090,46.4,64040
랜드로버,1470,3300,28.5,91716
폭스바겐,1277,1800,39.4,97001
볼보,1170,3294,50.1,76444
지프,931,2150,41.4,78580
포드,919,2650,42.1,80740
테슬라,589,4390,68.9,56498
렉서스,500,3740,55.7,81397
혼다,428,1885,44.0,98781
도요타,414,3340,71.5,70913
링컨,347,2650,38.5,85352
