제조사,모델,매물수,최저(P10),P25,중앙값(P50),P75,최고(P90),중앙주행km,중앙연식,평균잔존율
기아,카니발 4세대,3825,2080,2350,2699,3130,3560,74135,2022,67.5
제네시스,G80 (RG3),2228,2750,3150,3630,4290,5350,67426,2022,65.5
기아,쏘렌토 4세대,2129,2129,2399,2699,3059,3390,76749,2022,72.0
제네시스,GV80,2127,3400,3980,4740,5699,6550,57206,2022,70.8
현대,팰리세이드,2124,2099,2350,2600,2950,3290,78852,2021,60.9
현대,더 뉴 그랜저 IG,2066,1690,1940,2199,2470,2680,83232,2021,61.3
현대,그랜저 HG,1908,399,480,590,722,860,148735,2014,19.2
현대,그랜저 IG,1843,950,1150,1379,1590,1787,119553,2018,40.8
기아,올 뉴 카니발,1737,720,880,1090,1330,1550,149425,2016,30.4
현대,그랜드 스타렉스,1590,540,670,867,1100,1310,145084,2016,37.5
벤츠,E-클래스 W213,1434,2023,2449,3280,4150,4990,70042,2020,42.7
현대,더 뉴 싼타페,1393,1950,2190,2450,2740,3030,70632,2021,68.1
기아,더 뉴 레이,1357,690,799,989,1190,1350,68902,2021,69.8
기아,더 뉴 카니발,1337,1145,1399,1680,1950,2220,108951,2019,43.0
기아,K5 3세대,1308,1550,1732,1970,2320,2890,67983,2021,73.8
제네시스,GV70,1308,2980,3390,3755,4390,5090,50795,2022,75.5
현대,아반떼 (CN7),1274,1280,1482,1690,1899,2199,65402,2021,77.0
제네시스,G80,1261,1100,1370,1670,1960,2290,126497,2018,29.9
현대,쏘나타 (DN8),1220,1270,1430,1630,1890,2250,85212,2021,62.7
현대,아반떼 AD,1215,660,750,890,1030,1160,110600,2017,49.9
현대,스타리아,1191,2100,2435,2780,3275,3900,54020,2023,82.9
기아,올 뉴 K7,1110,799,920,1125,1310,1490,124932,2017,34.7
현대,캐스퍼,1073,1130,1270,1450,1590,1729,46519,2023,82.9
기아,더 뉴 카니발 4세대,1056,3088,3667,4130,4792,5890,23996,2025,87.3
기아,모하비 더 마스터,1047,2450,2780,3180,3650,4200,76249,2021,60.1
현대,올 뉴 투싼,1036,899,1046,1280,1550,1750,105866,2018,50.4
BMW,5시리즈 (G30),1020,2120,2465,3200,3890,4450,74575,2020,44.6
현대,싼타페 TM,1016,1590,1700,1890,2100,2299,97450,2019,57.2
르노코리아(삼성),SM6,973,490,590,690,820,979,112710,2016,25.4
기아,셀토스,948,1420,1590,1780,1980,2150,72053,2021,75.0
르노코리아(삼성),더 뉴 QM6,937,1250,1400,1640,1950,2419,69601,2021,58.6
기아,스포티지 5세대,934,1923,2130,2420,2686,2950,60742,2022,80.5
현대,더 뉴 그랜드 스타렉스,913,1150,1360,1600,1890,2268,98707,2019,61.7
기아,올 뉴 쏘렌토,902,870,1005,1190,1350,1490,140419,2016,37.4
현대,싼타페 DM,849,609,730,850,980,1100,147609,2014,27.5
기아,올 뉴 모닝,848,299,350,400,470,529,103553,2013,37.7
현대,제네시스 DH,837,730,850,1040,1230,1380,152592,2016,19.8
기아,레이,808,420,490,599,720,850,119837,2014,43.4
현대,투싼 (NX4),804,1833,2000,2265,2490,2690,62740,2022,77.0
기아,더 뉴 쏘렌토,793,1391,1570,1760,1989,2158,103856,2019,54.1
기아,더 뉴 기아 레이,777,1180,1390,1599,1740,1883,26700,2023,93.1
현대,더 뉴 팰리세이드,754,2865,3290,3650,4090,4670,46517,2023,76.2
기아,더 뉴 쏘렌토 4세대,744,2880,3333,3850,4272,4707,21900,2024,88.9
기아,K8,733,1822,2099,2350,2599,2866,64596,2022,65.4
현대,그랜저 (GN7),726,2400,2799,3090,3470,3799,43892,2023,74.5
현대,싼타페 더 프라임,697,950,1080,1220,1380,1520,125311,2016,38.9
현대,LF 쏘나타,686,555,686,830,956,1090,132196,2016,33.6
기아,올 뉴 모닝 (JA),685,599,699,800,890,980,75095,2018,65.8
제네시스,G70,668,1480,1690,1962,2250,2520,94921,2019,45.2
기아,스포티지 4세대,650,820,930,1090,1270,1420,118148,2017,43.0
KG모빌리티(쌍용),렉스턴 스포츠,642,1190,1330,1490,1660,1830,101419,2019,50.8
제네시스,EQ900,637,1150,1399,1690,1990,2299,160515,2016,18.7
벤츠,S-클래스 W222,627,2256,2715,3650,4724,6150,136775,2016,22.2
KG모빌리티(쌍용),토레스,623,1830,1980,2150,2290,2440,41385,2023,69.0
현대,아반떼 MD,622,330,379,430,499,560,122655,2012,25.9
KG모빌리티(쌍용),티볼리,605,490,590,670,780,880,109773,2016,31.3
현대,더 뉴 그랜저 IG 하이브리드,602,1931,2100,2410,2720,2949,91032,2022,58.2
현대,싼타페 (MX5),590,2838,3190,3590,3899,4099,25947,2024,80.0
현대,코나,587,1050,1190,1370,1520,1653,87000,2018,59.8
제네시스,G90,580,2287,2690,3050,3521,4031,124461,2019,33.3
르노코리아(삼성),QM6,577,780,890,1050,1200,1350,109133,2018,34.1
기아,K7 프리미어,574,1550,1700,1900,2099,2290,88251,2020,55.4
현대,아이오닉5,570,2098,2600,2950,3290,3656,76392,2022,52.1
기아,올 뉴 K3,565,900,1059,1200,1360,1490,79051,2019,63.7
벤츠,S-클래스 W223,564,7283,8200,9850,13282,17039,48590,2022,56.4
KG모빌리티(쌍용),베리 뉴 티볼리,561,1030,1150,1290,1430,1560,61494,2021,60.5
벤츠,GLE-클래스 W167,560,5090,6190,7525,9800,11310,49144,2022,62.7
제네시스,G90 (RS4),552,4802,5645,6550,7499,8635,66125,2023,67.2
기아,K3,546,420,471,550,630,690,115261,2014,30.4
현대,에쿠스(신형),541,390,490,630,830,1030,175925,2012,8.1
KG모빌리티(쌍용),더 뉴 렉스턴 스포츠 칸,541,1995,2200,2490,2750,2990,56188,2022,67.1
벤츠,GLC-클래스 X253,525,2359,2750,3550,4390,5150,70545,2020,45.6
르노코리아(삼성),XM3,525,1088,1250,1450,1880,2195,58806,2021,63.7
기아,더 뉴 모닝,500,399,460,550,630,680,92163,2016,47.2
현대,더 뉴 아반떼 (CN7),497,1646,1930,2290,2550,2999,21993,2024,87.0
BMW,3시리즈 (G20),476,2590,2800,3350,4095,4945,44454,2022,60.0
